,predict,target
2019-07-29 19:28:00,36.87525939941406,40.0
2019-07-29 19:29:00,36.8781852722168,39.0
2019-07-29 19:30:00,36.8765869140625,39.0
2019-07-29 19:31:00,36.8758544921875,42.0
2019-07-29 19:32:00,36.878910064697266,44.0
2019-07-29 19:33:00,36.878910064697266,42.0
2019-07-29 19:34:00,36.87668228149414,40.0
2019-07-29 19:35:00,36.87588119506836,39.0
2019-07-29 19:36:00,36.87967300415039,38.0
2019-07-29 19:37:00,36.87885665893555,37.0
2019-07-29 19:38:00,36.87836456298828,36.0
2019-07-29 19:39:00,36.87836456298828,40.0
2019-07-29 19:40:00,36.87836456298828,37.0
2019-07-29 19:41:00,36.8790168762207,34.0
2019-07-29 19:42:00,81.73233032226562,38.0
2019-07-29 19:43:00,81.73200225830078,43.0
2019-07-29 19:44:00,36.87779998779297,40.0
2019-07-29 19:45:00,36.876487731933594,40.0
2019-07-29 19:46:00,36.876487731933594,39.0
2019-07-29 19:47:00,36.8779411315918,41.0
2019-07-29 19:48:00,36.8779411315918,38.0
2019-07-29 19:49:00,36.87717056274414,41.0
2019-07-29 19:50:00,36.875492095947266,41.0
2019-07-29 19:51:00,36.87661361694336,43.0
2019-07-29 19:52:00,36.878623962402344,41.0
2019-07-29 19:53:00,36.877803802490234,43.0
2019-07-29 19:54:00,36.87477111816406,38.0
2019-07-29 19:55:00,36.87638473510742,36.0
2019-07-29 19:56:00,81.73249816894531,35.0
2019-07-29 19:57:00,81.73274993896484,39.0
2019-07-29 19:58:00,36.8787956237793,40.0
2019-07-29 20:01:00,36.87696075439453,35.0
2019-07-29 20:02:00,36.87639236450195,36.0
2019-07-29 20:03:00,36.8781623840332,37.0
2019-07-29 20:04:00,36.87911605834961,41.0
2019-07-29 20:06:00,36.877628326416016,43.0
2019-07-29 20:07:00,36.87981033325195,45.0
2019-07-29 20:08:00,81.73285675048828,45.0
2019-07-29 20:09:00,81.73204803466797,45.0
2019-07-29 20:10:00,81.73204803466797,42.0
2019-07-29 20:11:00,36.87868118286133,40.0
2019-07-29 20:12:00,36.87928771972656,31.0
2019-07-29 20:13:00,36.877845764160156,40.0
2019-07-29 20:14:00,36.87870407104492,40.0
2019-07-29 20:15:00,36.87710189819336,43.0
2019-07-29 20:16:00,36.87739944458008,35.0
2019-07-29 20:17:00,36.8776741027832,35.0
2019-07-29 20:18:00,36.87823486328125,35.0
2019-07-29 20:19:00,36.87979507446289,36.0
2019-07-29 20:20:00,36.87667465209961,39.0
2019-07-29 20:22:00,81.7329330444336,36.0
2019-07-29 20:23:00,81.73241424560547,35.0
2019-07-29 20:24:00,36.87513732910156,38.0
2019-07-29 20:25:00,36.878353118896484,43.0
2019-07-29 20:26:00,36.87763595581055,42.0
2019-07-29 20:27:00,36.877017974853516,42.0
2019-07-29 20:28:00,36.879600524902344,40.0
2019-07-29 20:29:00,36.87431716918945,39.0
2019-07-29 20:30:00,36.87431716918945,34.0
2019-07-29 20:31:00,36.87839126586914,36.0
2019-07-29 20:32:00,36.8760871887207,34.0
2019-07-29 20:33:00,36.878177642822266,35.0
2019-07-29 20:34:00,36.87495040893555,36.0
2019-07-29 20:35:00,36.87495040893555,40.0
2019-07-29 20:36:00,81.73173522949219,39.0
2019-07-29 20:37:00,36.879337310791016,41.0
2019-07-29 20:38:00,36.87773132324219,42.0
2019-07-29 20:39:00,36.87773132324219,40.0
2019-07-29 20:40:00,36.876468658447266,33.0
2019-07-29 20:41:00,36.877079010009766,37.0
2019-07-29 20:42:00,36.87679672241211,37.0
2019-07-29 20:43:00,36.878902435302734,41.0
2019-07-29 20:44:00,36.87588119506836,42.0
2019-07-29 20:45:00,36.877532958984375,37.0
2019-07-29 20:46:00,36.87517166137695,38.0
2019-07-29 20:47:00,81.73271179199219,39.0
2019-07-29 20:48:00,81.73271179199219,40.0
2019-07-29 20:49:00,36.877681732177734,39.0
2019-07-29 20:50:00,36.875030517578125,40.0
2019-07-29 20:51:00,36.87824249267578,36.0
2019-07-29 20:52:00,36.87967300415039,36.0
2019-07-29 20:53:00,36.848236083984375,41.0
2019-07-29 20:54:00,36.87569808959961,40.0
2019-07-29 20:55:00,36.85236740112305,40.0
2019-07-29 20:56:00,36.87893295288086,41.0
2019-07-29 20:57:00,36.85306167602539,41.0
2019-07-29 20:58:00,36.87655258178711,33.0
2019-07-29 21:00:00,36.87686538696289,44.0
2019-07-29 21:01:00,36.87686538696289,46.0
2019-07-29 21:02:00,36.87699508666992,41.0
2019-07-29 21:03:00,36.8775520324707,39.0
2019-07-29 21:04:00,36.876712799072266,45.0
2019-07-29 21:05:00,36.876712799072266,43.0
2019-07-29 21:06:00,36.87820053100586,43.0
2019-07-29 21:07:00,36.87470626831055,41.0
2019-07-29 21:08:00,36.876068115234375,44.0
2019-07-29 21:09:00,36.87556457519531,42.0
2019-07-29 21:10:00,81.73198699951172,39.0
2019-07-29 21:11:00,81.73198699951172,40.0
2019-07-29 21:12:00,36.878116607666016,42.0
2019-07-29 21:14:00,36.878292083740234,37.0
2019-07-29 21:15:00,36.87602615356445,36.0
2019-07-29 21:16:00,36.87595748901367,39.0
2019-07-29 21:17:00,36.880496978759766,40.0
2019-07-29 21:18:00,36.880496978759766,40.0
2019-07-29 21:19:00,36.878353118896484,47.0
2019-07-29 21:20:00,36.878353118896484,46.0
2019-07-29 21:21:00,81.73221588134766,44.0
2019-07-29 21:22:00,81.73221588134766,46.0
2019-07-29 21:23:00,36.87834548950195,41.0
2019-07-29 21:24:00,36.87644958496094,34.0
2019-07-29 21:25:00,36.87648391723633,38.0
2019-07-29 21:26:00,36.878639221191406,36.0
2019-07-29 21:27:00,36.878639221191406,41.0
2019-07-29 21:28:00,36.87755584716797,45.0
2019-07-29 21:29:00,36.87708282470703,45.0
2019-07-29 21:30:00,36.87565994262695,41.0
2019-07-29 21:31:00,36.878353118896484,41.0
2019-07-29 21:32:00,36.87885665893555,40.0
2019-07-29 21:35:00,81.73255920410156,35.0
2019-07-29 21:36:00,81.73251342773438,36.0
2019-07-29 21:37:00,81.73251342773438,38.0
2019-07-29 21:38:00,81.73213958740234,35.0
2019-07-29 21:39:00,36.873416900634766,37.0
2019-07-29 21:40:00,36.87214660644531,36.0
2019-07-29 21:41:00,36.8786735534668,37.0
2019-07-29 21:42:00,36.87812042236328,38.0
2019-07-29 21:43:00,36.87894821166992,43.0
2019-07-29 21:44:00,36.876224517822266,42.0
2019-07-29 21:45:00,36.87520980834961,45.0
2019-07-29 21:46:00,36.87520980834961,41.0
2019-07-29 21:47:00,36.88023376464844,40.0
2019-07-29 21:48:00,36.87771987915039,44.0
2019-07-29 21:49:00,36.87736892700195,45.0
2019-07-29 21:50:00,81.73101806640625,42.0
2019-07-29 21:51:00,81.73226928710938,45.0
2019-07-29 21:52:00,81.73233032226562,45.0
2019-07-29 21:53:00,81.73251342773438,46.0
2019-07-29 21:54:00,81.73281860351562,43.0
2019-07-29 21:55:00,81.73253631591797,39.0
2019-07-29 21:56:00,36.87806701660156,35.0
2019-07-29 21:58:00,36.87594985961914,38.0
2019-07-29 21:59:00,36.87709426879883,38.0
2019-07-29 22:00:00,36.875911712646484,44.0
2019-07-29 22:01:00,36.875911712646484,42.0
2019-07-29 22:02:00,36.875911712646484,44.0
2019-07-29 22:03:00,36.875911712646484,41.0
2019-07-29 22:04:00,36.875911712646484,37.0
2019-07-29 22:05:00,36.875911712646484,37.0
2019-07-29 22:07:00,81.73228454589844,37.0
2019-07-29 22:08:00,36.875911712646484,34.0
2019-07-29 22:10:00,36.875911712646484,29.0
2019-07-29 22:11:00,36.875911712646484,25.0
2019-07-29 22:12:00,36.875911712646484,20.0
2019-07-29 22:13:00,36.875911712646484,19.0
2019-07-29 22:14:00,36.875911712646484,22.0
2019-07-29 22:15:00,36.87644577026367,27.0
2019-07-29 22:16:00,36.875911712646484,31.0
2019-07-29 22:17:00,36.875911712646484,27.0
2019-07-29 22:18:00,81.73273468017578,23.0
2019-07-29 22:20:00,81.73243713378906,25.0
2019-07-29 22:22:00,81.73243713378906,29.0
2019-07-29 22:25:00,36.875911712646484,24.0
2019-07-29 22:26:00,36.875911712646484,31.0
2019-07-29 22:27:00,36.875911712646484,31.0
2019-07-29 22:28:00,36.875911712646484,27.0
2019-07-29 22:29:00,36.875911712646484,31.0
2019-07-29 22:30:00,36.875911712646484,33.0
2019-07-29 22:31:00,36.875911712646484,35.0
2019-07-29 22:32:00,36.875911712646484,36.0
2019-07-29 22:33:00,81.73222351074219,41.0
2019-07-29 22:35:00,81.73222351074219,49.0
2019-07-29 22:36:00,81.73222351074219,44.0
2019-07-29 22:37:00,36.85862731933594,51.0
2019-07-29 22:38:00,81.73257446289062,63.0
2019-07-29 22:39:00,81.73230743408203,83.0
2019-07-29 22:40:00,81.73262786865234,87.0
2019-07-29 22:41:00,81.73192596435547,89.0
2019-07-29 22:42:00,81.73274230957031,83.0
2019-07-29 22:43:00,81.73257446289062,83.0
2019-07-29 22:44:00,81.73200225830078,81.0
2019-07-29 22:45:00,81.73200225830078,81.0
2019-07-29 22:46:00,81.73272705078125,89.0
2019-07-29 22:47:00,81.73260498046875,86.0
2019-07-29 22:48:00,81.73255920410156,82.0
2019-07-29 22:49:00,81.73263549804688,90.0
2019-07-29 22:50:00,81.73255920410156,87.0
2019-07-29 22:51:00,81.73257446289062,82.0
2019-07-29 22:52:00,81.73226928710938,89.0
2019-07-29 22:53:00,81.7327880859375,87.0
2019-07-29 22:54:00,81.73281860351562,82.0
2019-07-29 22:56:00,81.73281860351562,83.0
2019-07-29 22:57:00,81.73269653320312,81.0
2019-07-29 22:58:00,81.73236083984375,87.0
2019-07-29 22:59:00,81.73278045654297,84.0
2019-07-29 23:00:00,81.73252868652344,85.0
